term, nullable, firstset, followset
start, False, "'void','float','bool','int','extern'", ""
program, False, "'void','float','bool','int','extern'", "EOF"
extern_list, False, "'extern'", "'void','float','bool','int'"
extern_list1, True, "'extern',epsilon", "'void','float','bool','int'"
extern, False, "'extern'", "'void','float','bool','int','extern'"
decl_list, False, "'void','float','bool','int'", "EOF"
decl_list1, True, "'void','float','bool',epsilon,'int'", "EOF"
decl, False, "'void','float','bool','int'", "'void','float','bool','int',EOF"
var_decl, False, "'float','bool','int'", "'void','float','bool','int',EOF"
type_spec, False, "'void','float','bool','int'", "IDENT"
var_type, False, "'float','bool','int'", "IDENT"
fun_decl, False, "'void','float','bool','int'", "'void','float','bool','int',EOF"
params, True, "'void','float','bool',epsilon,'int'", "')'"
param_list, False, "'float','bool','int'", "')'"
param_list1, True, "',',epsilon", "')'"
param, False, "'float','bool','int'", "')',','"
block, False, "'{'", "'void','bool',INT_LIT,'+','-',EOF,'float','}','int',';','else',BOOL_LIT,'while','{','return',IDENT,FLOAT_LIT,'if','!','('"
local_decls, True, "'float','bool',epsilon,'int'", "'return',IDENT,INT_LIT,FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
local_decl, False, "'float','bool','int'", "'bool',BOOL_LIT,'+','while','-','{','return','float','int',IDENT,'(',FLOAT_LIT,'if','!',';',INT_LIT"
stmt_list, True, "'return',epsilon,IDENT,'(',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';',INT_LIT,'-','{'", "'}'"
stmt, False, "'return',IDENT,'(',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';',INT_LIT,'-','{'", "'return',IDENT,INT_LIT,'}',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
expr_stmt, False, "IDENT,'(',FLOAT_LIT,BOOL_LIT,'+','!',';',INT_LIT,'-'", "'return',IDENT,INT_LIT,'}',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
while_stmt, False, "'while'", "'return',IDENT,INT_LIT,'}',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
if_stmt, False, "'if'", "'return',IDENT,INT_LIT,'}',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
else_stmt, True, "'else',epsilon", "'return',IDENT,INT_LIT,'}',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
return_stmt, False, "'return'", "'return',IDENT,INT_LIT,'}',FLOAT_LIT,'if',BOOL_LIT,'+','!','while',';','(','-','{'"
expr, False, "IDENT,'(',FLOAT_LIT,BOOL_LIT,'+','!',INT_LIT,'-'", "';',')',','"
rval, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "';',')',','"
rvalprime, True, "epsilon,'||'", "';',')',','"
rval1, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "',',')','||',';'"
rval1prime, True, "'&&',epsilon", "';',')',',','||'"
rval2, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "'&&',',',')','||',';'"
rval2prime, True, "'==','!=',epsilon", "'&&',',',')','||',';'"
rval3, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "'&&',')','||','!=',',',';','=='"
rval3prime, True, "'<',epsilon,'>=','<=','>'", "'&&',')','||',',',';','!=','=='"
rval4, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "'&&','<',')','||','<=','!=',',',';','>','>=','=='"
rval4prime, True, "'-',epsilon,'+'", "'&&','<',')','||','<=','!=',',',';','>','>=','=='"
rval5, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "'&&',')',',','+',';','>','==','-','<','||','<=','!=','>='"
rval5prime, True, "'/',epsilon,'%','*'", "'&&','<',')','||','>=','<=','!=',',','+','>',';','==','-'"
rval6, False, "IDENT,INT_LIT,FLOAT_LIT,BOOL_LIT,'+','!','(','-'", "'&&','/',')','%',',','+',';','>','==','-','<','||','<=','!=','*','>='"
rval7, False, "BOOL_LIT,'(',IDENT,FLOAT_LIT,INT_LIT", "'&&','/',')','%',',','+',';','>','==','-','<','||','<=','!=','*','>='"
args, True, "epsilon,IDENT,'(',FLOAT_LIT,BOOL_LIT,'+','!',INT_LIT,'-'", "')'"
arg_list, False, "IDENT,'(',FLOAT_LIT,BOOL_LIT,'+','!',INT_LIT,'-'", "')'"
arg_list1, True, "',',epsilon", "')'"
epsilon, True, "", "N/A"
'(', False, "'('", "N/A"
')', False, "')'", "N/A"
'{', False, "'{'", "N/A"
'}', False, "'}'", "N/A"
';', False, "';'", "N/A"
',', False, "','", "N/A"
'+', False, "'+'", "N/A"
'-', False, "'-'", "N/A"
'*', False, "'*'", "N/A"
'/', False, "'/'", "N/A"
'%', False, "'%'", "N/A"
'<', False, "'<'", "N/A"
'>', False, "'>'", "N/A"
'!', False, "'!'", "N/A"
'=', False, "'='", "N/A"
'<=', False, "'<='", "N/A"
'>=', False, "'>='", "N/A"
'==', False, "'=='", "N/A"
'!=', False, "'!='", "N/A"
'||', False, "'||'", "N/A"
'&&', False, "'&&'", "N/A"
'extern', False, "'extern'", "N/A"
'if', False, "'if'", "N/A"
'else', False, "'else'", "N/A"
'while', False, "'while'", "N/A"
'return', False, "'return'", "N/A"
'void', False, "'void'", "N/A"
'int', False, "'int'", "N/A"
'float', False, "'float'", "N/A"
'bool', False, "'bool'", "N/A"
BOOL_LIT, False, "BOOL_LIT", "N/A"
INT_LIT, False, "INT_LIT", "N/A"
FLOAT_LIT, False, "FLOAT_LIT", "N/A"
IDENT, False, "IDENT", "N/A"
EOF, False, "EOF", "N/A"
